Nort mrin Inustry lssiition Systm (NIS),14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar
om ntrtinmnt quipmnt n ousol pplin mrnt wolslrs  [4142],"798,990","796,697","754,884","761,385","797,660","760,039","740,248","724,929","695,193","692,196","712,915","737,777","757,432","767,928","823,892","827,643","820,654","813,489","875,232","841,432","825,777","765,096","753,512","814,000","724,911","758,778","712,642","740,983","736,606","742,575","731,977","759,061","779,683","772,579","747,513","764,726","817,348","814,333","852,254","846,883","821,229","779,222","759,517","769,484","776,497","819,968","830,135","737,878","788,538","773,908","787,125","887,460","784,083","817,185","875,675","837,501","810,721","809,877","786,293","717,351","736,567","655,155","739,037","737,213","849,453","798,681","814,328","770,884","846,204","857,540","817,059","835,161","684,036","792,950","786,142","704,594","812,966","858,186","941,984","930,349","912,894","915,351","946,531","921,275","958,308","1,019,250","907,325","945,243","885,841","850,356","828,412","799,948","797,959","789,164","809,981","889,614","1,022,448","958,332","961,217","1,027,035","940,685","960,344","837,733","738,981","756,994","723,604","762,444","795,772","819,888","824,963","910,562","820,124","799,213","817,428","837,761","813,455","822,410","826,596","808,299","862,911","836,399","857,344","873,670"
om urnisins mrnt wolslrs  [4143],"477,356","478,473","470,861","493,913","501,633","487,017","492,574","488,969","521,493","504,524","500,225","533,907","495,432","509,862","506,132","494,701","510,619","502,098","513,993","540,942","523,298","518,174","522,773","537,763","565,094","550,888","537,873","540,159","522,482","529,887","538,036","551,580","555,197","548,927","544,057","533,286","590,394","574,348","615,050","610,042","598,664","605,482","611,209","582,401","524,201","556,164","618,348","596,976","587,869","612,546","599,386","578,907","598,057","590,369","586,432","552,585","524,753","582,455","579,296","590,023","568,098","565,598","559,964","577,929","595,128","606,883","573,996","594,068","621,390","612,204","590,819","608,498","593,157","597,947","529,417","409,208","488,959","668,243","671,990","750,853","638,043","659,251","640,675","652,831","663,321","687,686","748,313","741,510","656,365","606,909","701,978","735,382","739,698","671,579","755,788","748,732","772,987","849,529","784,870","750,313","731,276","727,077","716,663","723,855","716,704","724,068","673,437","631,828","747,029","759,304","669,545","692,783","684,669","712,047","681,279","643,525","681,191","694,055","724,378","702,247","728,139","679,664","705,725"
Prsonl oos mrnt wolslrs  [4144],"706,315","741,405","697,729","688,797","713,123","712,645","684,732","707,579","725,648","725,594","716,508","726,867","755,800","760,028","762,579","737,636","734,013","719,509","719,163","739,801","748,474","740,424","738,395","744,080","848,468","708,657","702,876","715,850","710,683","738,774","725,045","686,965","703,314","705,134","761,274","753,530","733,972","721,066","864,045","875,156","871,726","853,279","774,726","840,989","830,554","869,360","826,205","817,474","853,639","833,640","794,983","823,867","871,361","823,981","889,657","889,488","850,606","857,602","886,766","894,227","894,625","930,518","902,794","875,920","855,225","902,009","851,313","871,487","833,010","785,524","780,157","806,883","841,591","818,894","679,228","441,946","727,805","913,845","962,337","929,575","950,700","977,315","969,217","973,757","958,400","1,029,916","1,035,572","1,080,639","1,060,121","1,094,029","1,012,185","961,233","1,246,318","1,341,867","1,562,735",,"1,169,790","1,141,004","1,176,651","1,156,109","1,146,243","1,045,112","1,029,353","980,961","985,782","1,042,553","978,744","993,125","1,112,190","1,038,598","1,082,702","1,053,914","1,052,424","1,162,285","986,956","1,011,048","968,114","986,710","1,037,340","1,088,493","1,009,541","1,016,229","978,239"
"Prmutils, toiltris, osmtis n sunris mrnt wolslrs  [4145]","4,309,539","4,343,000","4,380,152","4,437,967","4,398,753","4,381,757","4,444,959","4,383,083","4,455,220","4,397,050","4,525,454","4,498,728","4,563,731","4,578,523","4,600,797","4,584,103","4,568,207","4,713,272","4,663,450","4,780,183","4,635,099","4,792,699","4,918,926","4,819,063","4,705,355","4,822,346","4,829,878","4,870,812","4,959,736","5,100,265","4,927,271","4,841,505","4,987,435","4,886,560","4,901,570","4,981,280","5,037,787","5,007,004","4,928,549","4,913,142","5,025,880","5,078,523","5,046,125","5,195,860","5,170,759","5,226,515","5,213,010","5,307,058","5,350,442","5,305,053","5,447,968","5,468,048","5,420,282","5,363,709","5,370,745","5,532,363","5,411,923","5,700,558","5,609,563","5,499,535","5,626,683","5,538,994","5,686,660","5,874,335","5,842,759","5,584,999","5,874,369","5,857,871","5,862,315","6,239,667","5,993,461","6,042,308","6,124,703","6,079,722","6,718,328","5,419,748","5,466,483","6,135,242","6,325,565","6,000,021","6,216,695","6,185,514","6,166,395","6,096,576","5,983,136","6,231,812","6,407,517","6,302,670","6,448,223","6,701,976","6,709,815","6,775,383","6,783,572","6,729,212","6,816,548","6,917,173","7,854,460","7,308,319","6,914,832","6,741,882","6,907,958","6,788,473","6,733,494","7,033,572","7,391,723","7,566,783","7,568,802","7,415,233","7,497,768","7,504,496","7,520,510","7,568,174","7,527,905","7,412,703","7,588,071","7,650,978","7,613,537","7,552,978","7,708,879","7,853,723","7,942,026","7,973,839","8,092,834"
Prmutils n prmy supplis mrnt wolslrs  [41451],"3,620,790","3,647,886","3,701,500","3,734,695","3,692,564","3,695,846","3,769,878","3,701,091","3,773,327","3,753,860","3,853,085","3,830,469","3,878,223","3,882,341","3,896,090","3,891,210","3,900,201","4,012,366","3,976,730","4,073,222","3,936,917","4,083,200","4,201,924","4,080,736","3,943,185","4,043,671","4,060,038","4,121,433","4,204,821","4,347,068","4,147,298","4,117,639","4,193,054","4,102,118","4,110,519","4,219,573","4,304,873","4,284,636","4,209,682","4,194,510","4,276,131","4,300,128","4,358,193","4,446,728","4,384,462","4,438,437","4,420,093","4,477,272","4,529,266","4,519,879","4,649,674","4,636,913","4,598,272","4,524,193","4,551,498","4,577,248","4,605,293","4,882,578","4,767,841","4,618,893","4,756,655","4,778,991","4,782,024","4,910,060","4,864,481","4,601,959","4,946,297","4,908,846","4,887,225","5,282,145","5,029,133","5,077,049","5,138,357","5,079,054","5,660,794","4,530,734","4,525,659","5,189,627","5,193,420","4,945,602","5,244,946","5,072,481","5,207,480","5,140,845","5,090,198","5,244,092","5,400,582","5,329,156","5,406,924","5,662,786","5,616,740","5,721,273","5,720,122","5,598,240","5,706,648","5,844,627","6,714,058","6,209,794","5,797,473","5,566,696","5,734,564","5,628,343","5,585,208","5,926,640","6,240,972","6,442,469","6,477,526","6,294,424","6,365,547","6,372,010","6,365,059","6,508,430","6,525,481","6,277,749","6,463,579","6,493,233","6,462,640","6,531,011","6,570,726","6,726,733","6,744,338","6,798,520","6,868,077"
"Toiltris, osmtis n sunris mrnt wolslrs  [41452]","688,749","695,114","678,652","703,272","706,189","685,911","675,081","681,992","681,893","643,190","672,368","668,259","685,508","696,182","704,708","692,893","668,006","700,906","686,720","706,961","698,182","709,498","717,003","738,328","762,170","778,675","769,840","749,379","754,915","753,197","779,973","723,866","794,381","784,442","791,051","761,707","732,914","722,368","718,867","718,632","749,750","778,395","687,931","749,131","786,297","788,078","792,917","829,786","821,177","785,175","798,294","831,135","822,010","839,515","819,247","955,116","806,629","817,980","841,722","880,642","870,028","760,004","904,636","964,275","978,278","983,040","928,073","949,025","975,090","957,522","964,329","965,259","986,346","1,000,668","1,057,535","889,014","940,824","945,614","1,132,145","1,054,419","971,749","1,113,034","958,915","955,731","892,938","987,720","1,006,935","973,514","1,041,299","1,039,189","1,093,075","1,054,111","1,063,450","1,130,972","1,109,900","1,072,545","1,140,402","1,098,525","1,117,359","1,175,186","1,173,394","1,160,131","1,148,286","1,106,933","1,150,751","1,124,314","1,091,276","1,120,809","1,132,221","1,132,486","1,155,451","1,059,744","1,002,424","1,134,954","1,124,492","1,157,744","1,150,896","1,021,967","1,138,153","1,126,990","1,197,688","1,175,319","1,224,757"
Motor vil n motor vil prts n ssoris mrnt wolslrs  [415],"8,483,503","8,785,289","8,693,536","8,416,738","9,318,021","9,048,144","9,369,249","9,086,220","9,296,359","9,389,525","9,522,089","10,527,935","8,731,499","8,849,134","9,120,659","10,024,012","9,762,632","10,071,762","9,975,175","9,942,671","9,551,065","9,494,705","10,323,581","11,794,502","10,700,157","10,337,237","10,022,482","10,377,677","10,378,876","10,741,388","10,735,588","10,710,474","10,611,760","11,037,813","10,308,884","10,823,867","11,456,919","11,306,061","11,005,335","10,955,820","11,376,088","11,430,824","11,325,954","11,629,098","11,841,540","11,700,415","11,992,751","11,558,695","11,435,091","10,665,958","11,420,903","11,086,321","10,999,569","10,839,905","10,828,197","10,632,132","10,725,720","10,381,118","10,552,206","10,687,270","10,463,981","11,267,436","11,000,164","11,734,324","11,181,499","10,992,485","11,302,172","11,137,507","10,910,688","10,748,077","10,388,549","10,693,069","11,073,894","11,845,961","8,817,579","3,067,664","4,288,127","9,054,333","10,582,894","11,101,906","11,110,849","11,223,828","11,047,231","10,479,528","10,861,415","10,756,433","10,893,936","10,372,427","10,598,194","10,916,480","11,226,521","10,974,064","10,590,228","11,771,631","11,999,996","12,435,472","11,839,744","11,478,564","11,791,416","11,666,199","11,849,399","12,216,277","12,044,851","12,193,165","12,487,990","12,612,710","13,618,223","13,477,070","13,094,562","12,460,979","12,365,862","12,826,706","13,724,398","13,666,831","14,172,287","14,342,496","14,520,976","14,321,690","14,752,826","14,373,331","14,062,579","14,188,486","13,358,630"
Motor vil mrnt wolslrs  [4151],"6,184,122","6,568,611","6,414,493","6,095,928","6,969,013","6,769,460","7,075,311","6,837,185","6,914,500","7,013,653","7,078,466","8,180,846","6,413,646","6,473,511","6,756,087","7,639,404","7,398,056","7,698,825","7,627,882","7,609,007","7,192,538","7,224,127","8,039,806","9,513,298","8,358,022","8,100,933","7,845,221","8,269,289","8,253,488","8,657,528","8,726,637","8,681,712","8,647,778","8,984,107","8,391,835","8,614,164","9,314,498","9,147,030","8,805,750","8,743,496","9,215,921","9,237,677","9,159,121","9,473,569","9,707,335","9,586,651","9,691,460","9,337,662","9,192,399","8,432,468","9,230,389","8,938,483","8,771,242","8,633,073","8,538,657","8,430,172","8,490,895","8,080,712","8,302,748","8,538,583","8,151,087","8,860,268","8,660,974","9,376,543","8,859,604","8,617,406","8,977,795","8,838,524","8,636,587","8,566,079","8,168,686","8,552,703","8,834,640","9,734,066","6,966,224","1,758,589","2,478,569","6,914,215","8,343,621","8,805,382","8,801,456","8,939,828","8,814,486","8,388,886","8,671,264","8,550,454","8,545,240","7,929,511","8,239,027","8,519,933","8,914,522","8,577,534","8,184,628","9,282,499","9,540,134","9,823,463","9,275,014","8,746,185","9,129,975","8,998,178","9,126,361","9,603,746","9,440,793","9,749,054","9,850,460","9,932,393","10,875,457","10,757,565","10,409,988","9,879,327","9,809,217","10,285,832","11,162,812","11,033,208","11,460,516","11,733,049","11,938,982","11,664,831","12,056,123","11,598,437","11,377,835","11,429,616","10,629,616"
Nw motor vil prts n ssoris mrnt wolslrs  [4152],"2,246,623","2,163,752","2,223,550","2,265,037","2,291,998","2,223,815","2,238,439","2,198,078","2,328,968","2,319,444","2,392,985","2,295,284","2,268,288","2,325,615","2,312,114","2,333,920","2,313,624","2,323,574","2,296,597","2,284,138","2,308,019","2,222,416","2,235,866","2,235,680","2,295,794","2,192,812","2,133,850","2,064,462","2,077,178","2,038,372","1,964,744","1,981,725","1,917,723","2,008,266","1,870,823","2,160,788","2,094,318","2,115,124","2,149,662","2,159,896","2,108,849","2,139,386","2,115,037","2,100,276","2,081,454","2,057,034","2,243,917","2,166,734","2,186,310","2,171,150","2,133,575","2,090,657","2,166,564","2,144,637","2,225,701","2,146,388","2,172,326","2,240,767","2,192,591","2,090,404","2,253,438","2,343,640","2,276,298","2,301,229","2,265,878","2,319,318","2,269,174","2,232,807","2,219,493","2,112,058","2,164,119","2,081,278","2,181,941","2,053,309","1,801,294","1,276,407","1,760,588","2,089,387","2,186,801","2,230,921","2,237,734","2,227,217","2,170,258","2,034,335","2,130,037","2,149,584","2,275,233","2,376,805","2,292,913","2,330,481","2,261,538","2,325,345","2,322,973","2,423,829","2,390,113","2,545,694","2,499,270","2,667,751","2,561,754","2,586,089","2,652,082","2,546,769","2,512,403","2,365,172","2,561,797","2,610,727","2,665,971","2,662,351","2,613,405","2,509,556","2,480,525","2,469,024","2,484,723","2,561,025","2,639,789","2,540,599","2,515,929","2,583,632","2,630,079","2,714,311","2,618,019","2,689,300","2,657,114"
Us motor vil prts n ssoris mrnt wolslrs  [4153],"52,759","52,926","55,494","55,773","57,010","54,869","55,498","50,957","52,890","56,428","50,638","51,805","49,566","50,008","52,458","50,688","50,951","49,363","50,696","49,526","50,508","48,162","47,909","45,523","46,341","43,492","43,411","43,925","48,210","45,487","44,207","47,037","46,259","45,440","46,226","48,916","48,103","43,907","49,923","52,428","51,318","53,760","51,795","55,253","52,751","56,730","57,374","54,299","56,382","62,340","56,939","57,181","61,763","62,195","63,839","55,571","62,498","59,639","56,867","58,282","59,456","63,528","62,891","56,552","56,017","55,761","55,204","66,177","54,608","69,940","55,744","59,088","57,313","58,586","50,060","32,668","48,970","50,732","52,472","65,603","71,660","56,784","62,487","56,307","60,114","56,396","73,462","66,111","66,253","66,065","50,461","71,186","82,628","65,303","69,748","66,315","65,459","64,629","99,688","81,933","70,956","65,762","91,655","78,939","75,733","69,590","76,795","57,154","71,168","72,097","76,120","71,850","76,863","72,598","71,982","68,849","66,064","73,227","66,624","60,583","66,725","69,570","71,900"
uilin mtril n supplis mrnt wolslrs  [416],"7,044,077","7,242,044","7,245,027","7,484,196","7,537,804","7,644,879","7,628,254","7,698,484","8,059,086","7,724,325","7,514,015","7,980,482","7,524,577","7,452,627","7,589,493","7,690,155","7,575,867","7,554,118","7,595,775","7,772,139","7,554,383","7,553,621","7,686,137","7,824,743","7,840,029","7,616,627","7,563,427","7,488,001","7,497,258","7,654,369","7,542,743","7,534,353","7,542,023","7,816,943","8,068,374","8,085,823","7,987,232","7,934,580","8,428,649","8,382,531","8,270,166","8,402,556","8,592,741","8,519,816","8,743,382","8,875,439","9,052,598","9,155,387","8,664,355","8,746,830","9,282,171","9,169,153","9,548,209","9,741,121","9,548,722","9,182,520","9,314,919","9,236,847","9,170,751","9,213,565","9,067,078","8,394,785","8,900,874","9,003,494","9,128,412","8,955,728","9,071,464","9,032,883","9,179,805","9,090,241","8,868,634","8,955,723","8,819,038","8,884,500","8,536,558","6,556,628","7,524,509","8,710,133","9,083,514","9,797,991","9,911,586","10,189,216","10,301,505","10,457,902","11,290,011","10,655,221","11,653,314","12,859,332","13,188,886","12,544,730","11,132,470","11,385,440","11,344,386","11,611,558","12,275,999","12,366,099","13,800,358","13,450,029","14,113,192","13,741,275","13,111,284","12,871,247","12,593,635","12,448,611","12,163,328","12,467,190","12,152,808","12,014,918","12,236,906","11,836,563","11,997,478","11,857,260","11,815,066","11,631,182","11,860,588","11,950,476","11,904,520","12,041,930","12,279,058","12,084,292","11,774,766","11,890,770","11,808,437"
"ltril, plumin, tin n ir-onitionin quipmnt n supplis mrnt wolslrs  [4161]","2,163,475","2,251,665","2,293,515","2,351,047","2,351,967","2,361,298","2,358,872","2,448,306","2,741,890","2,429,003","2,385,277","2,796,121","2,418,077","2,363,928","2,448,574","2,510,781","2,392,772","2,420,350","2,391,786","2,397,719","2,360,988","2,412,370","2,425,348","2,653,860","2,447,348","2,313,717","2,355,971","2,368,468","2,352,035","2,411,411","2,477,691","2,286,836","2,448,321","2,469,997","2,565,110","2,485,871","2,506,437","2,508,660","2,517,073","2,493,450","2,517,193","2,560,393","2,562,978","2,561,001","2,632,809","2,584,522","2,676,654","2,705,035","2,771,259","2,787,520","2,777,471","2,767,840","2,861,633","2,801,703","2,861,501","2,867,968","2,808,844","2,845,499","2,826,175","2,804,100","2,748,864","2,733,540","2,918,861","2,919,708","2,934,177","2,914,929","3,004,244","2,862,822","2,985,330","2,973,410","2,976,498","3,076,609","2,929,996","2,928,231","2,770,781","2,136,921","2,488,113","2,968,964","2,859,621","2,892,107","2,896,331","2,977,393","2,971,826","2,957,040","3,021,564","3,042,432","3,097,415","3,463,217","3,182,293","3,229,762","3,060,207","3,278,721","3,320,543","3,328,533","3,372,590","3,462,450","3,665,488","3,728,442","3,710,998","3,784,707","3,712,982","3,684,799","3,639,309","3,646,657","3,635,509","3,637,114","3,665,563","3,730,762","3,765,109","3,753,649","3,860,894","3,806,285","3,803,737","3,792,024","3,772,555","3,893,608","3,802,287","3,856,476","4,005,008","3,868,463","3,908,936","4,045,220","3,952,698"
Mtl srvi ntrs  [4162],"1,550,105","1,628,248","1,650,167","1,687,384","1,718,871","1,705,817","1,722,086","1,734,201","1,742,655","1,757,768","1,695,545","1,652,106","1,585,096","1,523,198","1,497,550","1,562,442","1,496,544","1,511,273","1,541,309","1,509,700","1,475,953","1,445,488","1,439,715","1,406,805","1,470,571","1,450,340","1,419,180","1,365,804","1,374,047","1,390,871","1,399,935","1,383,272","1,392,635","1,414,569","1,408,038","1,464,966","1,434,917","1,484,056","1,647,593","1,594,546","1,627,199","1,605,212","1,550,130","1,614,104","1,594,393","1,636,435","1,735,871","1,800,832","1,473,327","1,659,716","1,916,667","1,785,648","1,819,162","1,909,870","1,921,892","1,782,842","1,911,358","1,864,536","1,843,939","1,880,607","1,719,271","1,686,288","1,642,069","1,695,378","1,840,858","1,672,966","1,609,504","1,658,910","1,645,680","1,623,747","1,521,355","1,427,354","1,508,156","1,514,941","1,420,750","1,073,211","1,107,411","1,355,674","1,449,109","1,415,785","1,452,180","1,494,190","1,520,148","1,584,528","1,650,644","1,736,391","1,863,461","2,078,403","2,102,064","2,170,055","2,143,741","2,267,165","2,262,541","2,332,699","2,669,054","2,535,318","2,632,138","2,608,630","2,691,396","2,684,343","2,716,985","2,724,516","2,719,665","2,604,060","2,496,569","2,524,392","2,345,479","2,356,946","2,466,858","2,314,024","2,364,576","2,384,482","2,333,167","2,223,869","2,272,294","2,207,324","2,252,358","2,199,866","2,202,982","2,211,755","2,051,363","2,183,432","2,171,943"
"Lumr, millwork, rwr n otr uilin supplis mrnt wolslrs  [4163]","3,330,498","3,362,131","3,301,346","3,445,765","3,466,967","3,577,764","3,547,296","3,515,977","3,574,541","3,537,554","3,433,193","3,532,255","3,521,404","3,565,500","3,643,370","3,616,932","3,686,551","3,622,496","3,662,680","3,864,721","3,717,443","3,695,762","3,821,074","3,764,078","3,922,110","3,852,570","3,788,276","3,753,729","3,771,176","3,852,087","3,665,117","3,864,245","3,701,067","3,932,377","4,095,227","4,134,986","4,045,879","3,941,864","4,263,983","4,294,536","4,125,773","4,236,951","4,479,633","4,344,711","4,516,181","4,654,482","4,640,073","4,649,520","4,419,769","4,299,594","4,588,032","4,615,665","4,867,414","5,029,548","4,765,328","4,531,709","4,594,717","4,526,813","4,500,637","4,528,859","4,598,943","3,974,957","4,339,945","4,388,408","4,353,377","4,367,832","4,457,717","4,511,151","4,548,795","4,493,084","4,370,781","4,451,761","4,380,887","4,441,328","4,345,026","3,346,495","3,928,986","4,385,494","4,774,783","5,490,099","5,563,074","5,717,634","5,809,532","5,916,334","6,617,803","5,876,398","6,692,439","7,317,712","7,904,529","7,144,913","5,928,523","5,839,554","5,761,302","5,950,326","6,234,356","6,368,331","7,502,732","7,112,958","7,710,798","7,272,225","6,681,316","6,461,932","6,234,662","6,197,895","6,031,249","6,305,685","6,141,767","5,927,209","6,004,938","5,768,891","5,772,008","5,666,492","5,678,162","5,615,288","5,815,739","5,849,544","5,849,875","5,985,588","6,071,068","6,004,074","5,814,467","5,662,118","5,683,796"
"Minry, quipmnt n supplis mrnt wolslrs  [417]","10,695,943","10,953,140","10,898,157","10,955,706","11,143,283","11,140,944","10,972,100","11,420,554","11,650,592","11,507,306","11,048,548","11,177,405","11,278,567","11,286,321","11,102,581","11,261,239","11,069,210","11,096,567","11,222,956","10,753,001","11,194,399","11,306,087","11,172,899","11,028,944","11,570,452","10,884,007","10,945,381","10,715,624","10,737,521","10,964,687","11,134,733","11,246,649","11,152,421","11,066,546","11,303,294","11,411,129","11,368,687","11,445,949","11,645,518","12,084,157","11,985,613","12,170,086","12,328,712","11,931,977","11,982,799","12,181,170","12,172,826","12,792,838","12,545,951","12,621,937","12,779,606","12,782,962","13,127,175","12,955,415","12,972,015","13,259,505","12,854,298","13,368,250","13,107,308","13,158,066","13,194,000","12,948,608","13,453,449","13,575,019","13,401,044","13,946,869","13,489,230","13,138,437","13,823,582","13,198,720","13,178,726","13,300,018","13,001,890","13,028,733","13,282,270","12,136,576","11,804,336","13,184,710","13,689,681","13,842,169","13,548,236","13,953,085","14,314,418","14,118,501","14,989,764","14,772,829","15,238,867","15,198,167","15,313,116","14,761,687","14,698,239","14,574,441","14,907,255","15,098,807","15,608,199","15,809,260","16,302,257","16,954,219","16,309,817","16,586,547","16,839,390","16,867,353","17,096,029","17,658,204","17,418,947","17,490,949","17,680,516","17,195,015","17,851,720","18,347,357","17,741,045","17,708,003","18,570,290","17,777,607","17,462,741","18,231,103","17,850,769","17,575,053","17,355,778","17,155,645","17,398,872","17,628,176","17,917,815"
"rm, lwn n rn minry n quipmnt mrnt wolslrs  [4171]","1,363,623","1,374,504","1,355,393","1,308,166","1,374,849","1,353,548","1,320,127","1,354,602","1,457,921","1,490,675","1,402,930","1,293,587","1,423,369","1,486,692","1,472,747","1,402,749","1,304,338","1,303,013","1,380,581","1,274,937","1,407,115","1,397,377","1,485,939","1,433,987","1,498,940","1,410,923","1,341,664","1,353,372","1,320,031","1,466,523","1,442,822","1,566,384","1,545,201","1,402,332","1,593,593","1,608,339","1,611,530","1,649,006","1,670,550","1,981,893","1,796,159","1,644,701","1,717,618","1,769,825","1,648,519","1,764,104","1,682,512","1,765,627","1,639,053","1,700,173","1,801,815","1,844,476","1,882,870","1,893,073","1,705,361","1,756,040","1,570,045","1,721,921","1,634,322","1,708,829","1,710,102","1,636,433","1,645,610","1,727,576","1,623,440","1,486,292","1,554,747","1,546,326","1,627,773","1,587,780","1,591,299","1,528,463","1,547,866","1,585,301","1,648,345","1,603,199","1,515,134","1,705,085","1,812,684","1,766,264","1,778,016","1,560,738","1,810,681","1,736,629","1,881,645","1,903,447","2,175,265","2,270,034","1,883,302","1,973,857","1,978,361","1,739,674","1,871,955","1,918,951","1,883,631","1,977,833","1,911,597","1,902,140","1,937,973","2,110,655","2,248,084","2,289,007","2,329,228","2,439,749","2,528,340","2,442,429","2,476,935","2,575,817","2,403,104","2,408,828","2,501,286","2,632,088","2,756,330","2,551,792","2,216,621","2,604,635","2,479,011","2,588,931","2,530,032","2,723,207","2,622,201","2,693,547","2,715,757"
"onstrution, orstry, minin, n inustril minry, quipmnt n supplis mrnt wolslrs  [4172]","3,596,676","3,654,842","3,673,749","3,802,648","3,797,433","3,803,644","3,793,854","3,885,009","3,962,130","4,035,680","3,843,311","3,717,075","3,799,688","3,629,014","3,523,894","3,748,641","3,747,820","3,694,207","3,562,263","3,591,593","3,464,451","3,559,238","3,526,452","3,386,383","3,875,998","3,306,851","3,479,128","3,299,321","3,165,398","3,254,732","3,356,886","3,295,712","3,422,403","3,346,983","3,519,293","3,591,419","3,447,535","3,791,537","3,699,528","3,516,560","3,748,493","3,721,689","3,810,660","3,874,269","3,821,584","3,878,032","3,772,205","4,302,028","4,047,358","4,042,031","3,951,021","4,033,160","4,112,202","4,094,199","4,254,859","4,384,765","4,282,022","4,342,174","4,360,322","4,357,755","4,292,866","4,166,991","4,514,887","4,625,488","4,509,525","4,567,930","4,478,569","4,394,196","4,669,580","4,372,895","4,317,256","4,291,397","4,257,977","4,353,211","4,052,859","3,621,809","3,536,313","4,080,956","4,058,399","4,025,864","4,055,628","4,248,178","4,242,671","4,552,228","4,255,073","4,326,563","4,495,903","4,557,090","5,116,054","4,733,176","4,610,713","4,577,422","4,835,233","4,698,070","5,116,965","5,248,418","5,531,397","5,560,169","5,565,378","5,547,186","5,444,690","5,606,832","5,749,863","6,196,967","5,802,973","5,887,398","6,150,088","5,502,291","6,075,362","6,036,624","6,003,909","5,846,444","6,246,667","5,842,520","6,248,796","6,385,566","6,210,069","6,017,766","5,892,544","5,828,425","5,835,339","5,970,893","6,056,954"
omputr n ommunitions quipmnt n supplis mrnt wolslrs  [4173],"3,458,342","3,525,551","3,420,642","3,471,375","3,493,295","3,439,885","3,402,928","3,678,845","3,727,481","3,589,192","3,382,102","3,709,584","3,583,107","3,689,577","3,631,796","3,576,455","3,549,467","3,698,023","3,807,607","3,426,820","3,798,750","3,654,201","3,638,435","3,605,096","3,672,235","3,630,972","3,625,460","3,574,841","3,835,781","3,693,439","3,727,655","3,825,631","3,736,630","3,798,559","3,571,386","3,601,225","3,400,891","3,257,124","3,450,769","3,641,323","3,546,630","3,890,492","3,926,971","3,429,574","3,562,882","3,548,296","3,752,760","3,794,495","3,816,076","3,842,065","3,847,278","3,778,754","3,881,658","3,852,742","3,832,943","3,909,858","3,868,541","4,033,209","3,993,814","3,863,021","4,049,457","3,964,847","4,186,563","3,989,041","4,007,575","4,577,368","4,191,520","4,208,077","4,307,798","4,071,946","4,131,650","4,209,592","3,974,411","3,937,932","4,582,177","4,353,136","4,018,586","4,252,346","4,611,624","4,722,183","4,283,530","4,758,827","4,717,950","4,321,450","5,312,651","5,026,485","4,898,401","4,965,384","4,923,913","4,739,643","4,573,483","4,752,279","4,710,257","4,926,239","4,988,906","5,060,381","5,255,822","5,518,975","5,007,379","5,008,930","5,273,148","5,035,178","5,253,687","5,004,214","5,086,561","5,120,350","4,910,685","4,920,641","4,991,316","5,383,987","4,726,020","4,750,346","4,959,789","5,153,654","4,923,266","4,986,415","5,044,055","4,853,020","4,788,168","4,434,721","4,894,336","4,945,564","4,917,892"
