New housing price indexes,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr
Total (house and land),94.1,94.4,94.5,94.7,94.8,94.9,94.9,95.2,95.3,95.4,95.5,95.5,95.5,95.6,95.7,95.7,95.9,96.1,96.2,96.5,96.6,96.8,96.9,97,97.1,97.3,97.5,97.7,98.5,98.6,99,99.1,99.3,99.7,99.9,100,100.1,100.5,100.7,101.5,102.2,102.4,102.8,102.9,103.1,103.2,103.3,103.3,103.3,103.1,103.1,103.1,103.1,103.2,103.3,103.3,103.3,103.3,103.3,103.3,103.2,103.2,103.2,103.2,103.1,103,102.9,103,103.2,103.3,103.2,103.4,103.4,103.8,104.1,104.1,104.2,104.3,104.7,105.2,106.5,107.3,107.9,108.2,109,111.1,112.3,114.4,116,116.7,117.2,118,118.5,119.6,120.5,120.8,121.9,123.2,124.7,125.1,125.7,125.9,126,126.1,126,125.7,125.5,125.5,125.2,124.9,124.9,124.8,124.9,125,124.9,125,124.7,124.7,124.4,124.4,124.3,124.4,124.4,124.7
House only,93.3,93.6,93.7,94,94.1,94.3,94.3,94.5,94.6,94.7,94.8,94.9,94.8,95,95,95.1,95.1,95.3,95.5,95.8,95.9,96.2,96.4,96.5,96.7,97,97.2,97.6,98.5,98.5,99,99.3,99.3,99.8,99.9,100,99.9,100.2,100.4,101.2,101.7,102.1,102.7,102.8,102.9,103.1,103.2,103.2,103.2,102.9,102.9,102.7,102.7,103,103.1,103,102.9,102.9,102.9,102.9,102.8,102.8,102.8,102.6,102.5,102.4,102.2,102.3,102.6,102.7,102.5,102.8,102.6,103.1,103.5,103.5,103.6,103.7,103.9,104.6,106.1,107.3,108,108.3,109.3,111,112.4,114.3,116.6,117.9,118.6,119.5,120.1,121.4,122.4,122.9,124.3,126,127.9,128.6,129.4,129.6,129.6,129.8,129.7,129.4,129.3,129.2,128.9,128.5,128.4,128.2,128.3,128.3,128.2,128.1,127.8,127.6,127.2,127.2,127.1,127.2,127.2,127.6
